time_iso8601,stars_cumulative
2024-12-17 00:00:00+00:00,378
2024-12-18 00:00:00+00:00,380
2024-12-20 00:00:00+00:00,383
2024-12-21 00:00:00+00:00,384
2024-12-24 00:00:00+00:00,386
2024-12-26 00:00:00+00:00,387
2024-12-30 00:00:00+00:00,388
2024-12-31 00:00:00+00:00,389
2025-01-01 00:00:00+00:00,390
2025-01-04 00:00:00+00:00,391
2025-01-06 00:00:00+00:00,392
2025-01-11 00:00:00+00:00,393
2025-01-13 00:00:00+00:00,394
2025-01-14 00:00:00+00:00,396
2025-01-15 00:00:00+00:00,397
2025-01-17 00:00:00+00:00,398
2025-01-20 00:00:00+00:00,400
2025-01-21 00:00:00+00:00,401
2025-01-24 00:00:00+00:00,402
2025-01-27 00:00:00+00:00,404
2025-01-30 00:00:00+00:00,405
2025-01-31 00:00:00+00:00,406
2025-02-07 00:00:00+00:00,408
2025-02-10 00:00:00+00:00,409
2025-02-12 00:00:00+00:00,410
2025-02-13 00:00:00+00:00,411
2025-02-14 00:00:00+00:00,413
2025-02-15 00:00:00+00:00,415
2025-02-17 00:00:00+00:00,416
2025-02-18 00:00:00+00:00,417
2025-02-20 00:00:00+00:00,420
2025-02-23 00:00:00+00:00,422
2025-02-24 00:00:00+00:00,423
2025-02-27 00:00:00+00:00,424
2025-02-28 00:00:00+00:00,425
2025-03-01 00:00:00+00:00,426
2025-03-03 00:00:00+00:00,427
2025-03-04 00:00:00+00:00,428
2025-03-05 00:00:00+00:00,429
2025-03-06 00:00:00+00:00,430
2025-03-10 00:00:00+00:00,432
2025-03-13 00:00:00+00:00,434
2025-03-16 00:00:00+00:00,435
2025-03-17 00:00:00+00:00,436
2025-03-20 00:00:00+00:00,437
2025-03-21 00:00:00+00:00,438
2025-03-24 00:00:00+00:00,440
2025-03-27 00:00:00+00:00,443
2025-03-28 00:00:00+00:00,445
2025-04-01 00:00:00+00:00,446
2025-04-04 00:00:00+00:00,447
2025-04-07 00:00:00+00:00,448
2025-04-08 00:00:00+00:00,449
2025-04-10 00:00:00+00:00,453
2025-04-11 00:00:00+00:00,456
2025-04-12 00:00:00+00:00,457
2025-04-13 00:00:00+00:00,458
2025-04-23 00:00:00+00:00,459
